,lwe_thickness,total_thickness_of_water_storage
1999-03-31,,1.58066883306401
1999-04-30,,0.28416004400150996
1999-05-31,,0.45164051275150996
1999-06-30,,-3.51283702631099
1999-07-31,,-5.55519542474849
1999-08-31,,-5.49647960443599
1999-09-30,,-4.58058604974849
1999-10-31,,-3.86671886224849
1999-11-30,,-1.18874034662349
1999-12-31,,0.26707020025150996
2000-01-31,,0.45334949712650996
2000-02-29,,-1.32643565912349
2000-03-31,,-2.97145519037349
2000-04-30,,-0.27943858881099004
2000-05-31,,-0.79042491693599
2000-06-30,,-2.77760753412349
2000-07-31,,-5.54323253412349
2000-08-31,,-6.95729503412349
2000-09-30,,-7.54726085443599
2000-10-31,,-3.44582042474849
2000-11-30,,4.76951160650151
2000-12-31,,5.42356434087651
2001-01-31,,8.43992176275151
2001-02-28,,7.54111805181401
2001-03-31,,6.64109363775151
2001-04-30,,1.80942859868901
2001-05-31,,0.83164539556401
2001-06-30,,-3.85084972162349
2001-07-31,,-5.09083995599849
2001-08-31,,-6.52614269037349
2001-09-30,,-6.29250011224849
2001-10-31,,-3.14821300287349
2001-11-30,,-2.76796397943599
2001-12-31,,-3.04213390131099
2002-01-31,,-1.39088878412349
2002-02-28,,-2.18129405756099
2002-03-31,,-1.40773448724849
2002-04-30,-0.7630860571013649,-1.85390147943599
2002-05-31,0.7752813528223336,0.78135242681401
2002-06-30,,-1.78798351068599
2002-07-31,,-4.50148448724849
2002-08-31,-5.250566616890001,-5.26845226068599
2002-09-30,-3.492525317963569,-3.83571300287349
2002-10-31,0.7523380844696903,-1.71718272943599
2002-11-30,2.682411579135233,-1.16310558099849
2002-12-31,6.765646680563181,2.92026844243901
2003-01-31,6.182669361986495,4.19272937993901
2003-02-28,7.8801315666222855,6.21238270025151
2003-03-31,6.325107543264198,5.44407215337651
2003-04-30,8.225582890816037,3.52610340337651
2003-05-31,7.688296184271042,1.61484852056401
2003-06-30,,-2.85182628412349
2003-07-31,-2.424002253483399,-6.30360851068599
2003-08-31,-5.126566166033123,-6.87453136224849
2003-09-30,-2.2907933667926064,-3.85097179193599
2003-10-31,-1.2534254786934222,-2.58729991693599
2003-11-30,6.176628107976855,1.95566883306401
2003-12-31,9.846905649443439,3.68467273931401
2004-01-31,9.061946645140235,3.87400379400151
2004-02-29,10.464509261910605,3.86716785650151
2004-03-31,11.904488507028457,5.99375477056401
2004-04-30,11.407930425036007,6.60349598150151
2004-05-31,10.497610250156496,5.05649891118901
2004-06-30,2.950768662851449,-1.59560069818599
2004-07-31,0.6469599299117544,-4.20680675287349
2004-08-31,0.8966324327147379,-5.85414562006099
2004-09-30,-0.03855586528487864,-6.22279796381099
2004-10-31,-2.013308743929283,-6.21413097162349
2004-11-30,0.4663292866063966,-3.45509776849849
2004-12-31,5.102415592168279,-1.61391124506099
2005-01-31,5.897708233448123,-1.52724132318599
2005-02-28,2.3501656227703354,-1.98939952631099
2005-03-31,2.1330544999289143,-2.65773448724849
2005-04-30,0.9898570118106298,-3.72877940912349
2005-05-31,1.5065321277595063,-4.39015636224849
2005-06-30,-2.027964366130658,-6.47853526849849
2005-07-31,-6.102431003103036,-8.23170909662349
2005-08-31,-7.033848246108634,-8.22560558099849
2005-09-30,-7.747928060541204,-7.93788585443599
2005-10-31,-6.7843683925471625,-5.55812511224849
2005-11-30,-2.156583929222015,-0.60353526849849
2005-12-31,2.382882877683086,1.45579090337651
2006-01-31,2.1722320408875015,2.43577137212651
2006-02-28,0.36166957986499126,1.38853016118901
2006-03-31,2.4908632228000616,1.73203602056401
2006-04-30,3.712150841314573,-0.92519054193599
2006-05-31,1.5058404032798074,-3.42616710443599
2006-06-30,-1.99416336407141,-5.70485362787349
2006-07-31,-4.939290157510749,-6.54347667474849
2006-08-31,-7.842238768818568,-8.00551280756099
2006-09-30,-7.528201835796946,-5.53419933099849
2006-10-31,-1.2703699914994153,-3.28310069818599
2006-11-30,2.9969598874685834,-2.61305675287349
